multiplier,std_time,unix_time
1.0,2024-04-14 01:41:28+00:00,1713058888
13.72,2024-04-14 01:42:14+00:00,1713058934
1.32,2024-04-14 01:42:41+00:00,1713058961
1.0,2024-04-14 01:43:43+00:00,1713059023
319.32,2024-04-14 01:44:43+00:00,1713059083
2.5,2024-04-14 01:44:48+00:00,1713059088
1.5,2024-04-14 01:46:04+00:00,1713059164
1.78,2024-04-14 01:46:58+00:00,1713059218
1.11,2024-04-14 01:48:00+00:00,1713059280
4.08,2024-04-14 01:48:37+00:00,1713059317
7.28,2024-04-14 01:49:04+00:00,1713059344
1.12,2024-04-14 01:49:19+00:00,1713059359
3.64,2024-04-14 01:49:50+00:00,1713059390
2.52,2024-04-14 01:51:37+00:00,1713059497
1.63,2024-04-14 01:53:10+00:00,1713059590
